,Platform,Category,Title,DirectorName,DirectorGender,DirectorAge,Actors,ActorGender,ActorAge,Country,DateAdded,ReleaseYear,Rating,Duration,GenreType,Description
2229,Netflix,Movie,Barcelona: A Love Untold,Nila Madhab Panda,M,46,Dennis Hayden,M,68,Philippines,14-Mar-19,2016,TV-14,132 min,"Dramas, International Movies, Romantic Movies","While pursuing a degree in Spain, an architecture student struggling with grief meets a fellow expatriate trying to flee a difficult family life."
88,Netflix,Movie,Domino,Olivia M. Lamasan,F,38,Suzanne Krull,F,47,"Denmark, France, Italy, Belgium, Netherlands",28-Sep-19,2019,R,89 min,"International Movies, Thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage."
3449,Netflix,Movie,He's Out There,Brian De Palma,M,79,Steve Rosenbaum,M,59,United States,12-Jan-19,2018,R,89 min,"Horror Movies, Thrillers","While vacationing at a remote lake house, a mother and her daughters become pawns in the twisted game of an ax-wielding psychopath."
2379,Netflix,Movie,Super Nani,Quinn Lasher,M,54,Andrew Shaifer,M,59,India,1-Mar-18,2014,TV-PG,127 min,"Comedies, Dramas, International Movies","A loving, concerned American grandson travels to Mumbai to rescue his unappreciated grandmother from her drudgery and fulfill her true potential."
5004,Netflix,Movie,What's Your Raashee?,Indra Kumar,M,43,Bryan Fogel,M,52,India,15-Aug-18,2009,TV-PG,203 min,"Comedies, International Movies, Music & Musicals","To protect his family from ruin, Yogesh must marry his dream girl in only ten days, so he rushes into dating women with different astrological signs."
3179,Netflix,Movie,X: Past Is Present,Ashutosh Gowariker,M,56,Bob Koherr,M,65,India,1-Jul-16,2015,Not Rated,105 min,"Dramas, Independent Movies, International Movies","When a middle-aged filmmaker meets an alluring stranger at a party, he's haunted by troubling memories of his past relationships."
3968,Netflix,Movie,Sakhi,Hemant Gaba,M,45,David Zorrilla,M,60,India,15-Feb-18,2007,TV-PG,152 min,"Dramas, International Movies, Music & Musicals","Caught in a downward spiral of failed career moves, misguided ambitions and bad relations, a pair of lost souls find hope in an unexpected friendship."
828,Netflix,Movie,The Bounty Hunter,Pratim D. Gupta,M,38,Ana de la Reguera,F,43,United States,1-Oct-19,2010,PG-13,111 min,"Action & Adventure, Comedies, Romantic Movies","Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole."
3375,Netflix,Movie,Flash of Genius,Sudhish Kamath,M,29,Manolo Cardona,M,43,"Canada, United States",16-Jan-17,2008,PG-13,119 min,Dramas,A college professor goes up against the giants of the auto industry when they fail to give him credit for inventing intermittent windshield wipers.
5096,Netflix,Movie,Invisible,Nalan Kumarasamy,M,38,Ofelia Medina,M,70,"Argentina, France",1-Aug-18,2017,TV-MA,87 min,"Dramas, Independent Movies, International Movies","After learning she's pregnant, a teen grapples with the consequences while trying to go about her life as if nothing has changed."
3044,Netflix,Movie,Mean Streets,Anu Menon,F,41,Marco Leonardi,M,48,United States,1-Jul-19,1973,R,112 min,"Classic Movies, Dramas, Independent Movies","In New York's Little Italy, a low-level hoodlum wrestles with loyalty to his mobster uncle, his faith and his friendship with an inveterate gambler."
3107,Netflix,Movie,Kaviyude Osyath,Sandeep Mohan,M,67,Lumi Cavazos,F,51,India,1-Jul-18,2017,TV-PG,116 min,"Dramas, International Movies","When a late poet leaves behind his property to a young man, the man's brother suspects the poet may have been more than just a family friend."
4762,Netflix,Movie,Crazy Beautiful You,Qaushiq Mukherjee,M,45,Adam Faraizl,M,42,Philippines,6-Aug-19,2015,TV-PG,114 min,"Comedies, Dramas, International Movies",A rebellious daughter accompanies her mother on a medical mission where she falls for the handsome politician's son assigned to be her chaperone.
1698,Netflix,Movie,SGT. Will Gardner,Rajshree Ojha,F,44,Polly Holliday,F,82,United States,19-May-19,2019,TV-MA,125 min,Dramas,"A homeless vet who has PTSD steals a motorcycle and hits the road, trying to sort out what life means now that war is in the rear-view mirror."
3885,Netflix,Movie,The Breadwinner,Raja Sen,M,64,Ada Carrasco,F,90,"Ireland, Canada, Luxembourg, United States",20-Feb-18,2017,PG-13,93 min,"Children & Family Movies, Dramas, International Movies",A courageous 11-year-old Afghan girl disguises herself as a boy and takes on odd jobs to provide for her family when her father is arrested.
3273,Netflix,TV Show,Frozen Planet,Abhinav Shiv Tiwari,M,31,Yareli Arizmendi,F,56,"United Kingdom, United States, Spain, Germany, Greece, Canada",28-Jan-16,2011,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",Go on a journey through the Arctic and Antarctic with this visually stunning program that explores these wildernesses and their inhabitants.
5353,Netflix,Movie,The D Train,Suparn Verma,M,45,Steve Harvey,M,63,"United Kingdom, United States",2-Apr-17,2015,R,101 min,Comedies,A loser in charge of planning his high school class's 20-year reunion thinks he's scored a major coup when he gets a marginally famous alum to attend.
1550,Netflix,Movie,Regatta,Sanjay Soorkar,M,100,Pilar Aranda,F,62,Egypt,9-May-19,2015,TV-MA,100 min,"Action & Adventure, Dramas, International Movies",Inside one of Cairo's most impoverished areas exists a place where criminals control everything and everyone.
1139,Netflix,Movie,Girls und Panzer der Film,Andy Tennant,M,64,Dave Madden,M,80,Japan,22-Nov-19,2015,TV-14,121 min,"Action & Adventure, Anime Features, International Movies",The girls of ¥Ë_í‚arai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.
3458,Netflix,Movie,All of You,Marc Abraham,M,64,Aryan Preet,F,70,Philippines,11-Jan-19,2017,TV-14,104 min,"Comedies, Dramas, International Movies","Two strangers meet on a dating app and experience instant chemistry, but their relationship unravels as jarring differences catch up to them."
837,Netflix,Movie,The Pursuit of Happyness,Pablo Giorgelli,M,53,Ranvir Shorey,M,47,United States,1-Oct-19,2006,PG-13,117 min,Dramas,"When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm."
2041,Netflix,Movie,Backcountry,Martin Scorsese,M,77,Paoli Dam,F,39,Canada,30-Mar-17,2014,Not Rated,92 min,"Horror Movies, Independent Movies, Thrillers",A weekend hike for urbanites Alex and Jenn takes a dangerous turn when they become lost deep in the remote territory of a menacing bear.
5065,Netflix,Movie,Jupiter Ascending,Vineeth Anil,M,35,Kumud Mishra,F,47,"United States, Australia",1-Aug-19,2015,PG-13,128 min,"Action & Adventure, Sci-Fi & Fantasy",A young impoverished woman learns she's been predestined to change the fate of the universe after a genetically engineered hunter tracks her down.
829,Netflix,Movie,The Bucket List,Mae Czarina Cruz,F,43,Devender Chaudhary,M,45,United States,1-Oct-19,2007,PG-13,97 min,"Comedies, Dramas",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.
818,Netflix,Movie,Raging Bull,Max Martini,M,50,Shrikant Verma,M,57,United States,1-Oct-19,1980,R,129 min,"Classic Movies, Dramas, Sports Movies","This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport, only to be undone by his demons."
1172,Netflix,Movie,Dream/Killer,Nora Twomey,F,48,Kathryn Bernardo,F,24,United States,20-Nov-19,2015,TV-MA,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.
2937,Netflix,Movie,GODZILLA City on the Edge of Battle,Alastair Fothergill,M,60,Daniel Padilla,M,25,Japan,18-Jul-18,2018,TV-14,101 min,"Action & Adventure, Anime Features, International Movies","On Earth, Haruo and his companions make contact with the indigenous Houtua tribe. To defeat Godzilla, they set out for the old Mechagodzilla facility."
4072,Netflix,Movie,Heroes Wanted,Jarrad Paul,M,43,Joshua Garcia,M,22,Spain,1-Feb-17,2016,TV-MA,97 min,"Action & Adventure, Comedies, International Movies","When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes?"
3546,Netflix,Movie,New York Minute,Andrew Mogel,M,45,Aiko Melendez,F,44,United States,1-Jan-20,2004,TV-PG,91 min,"Children & Family Movies, Comedies","When bickering teenage twins accidentally land in the middle of a criminal operation, they'll have to work together to get themselves out of trouble."
1466,Netflix,Movie,Himmatwala,Mohamed Samy,M,41,Joey Marquez,M,62,India,1-Nov-18,2013,TV-14,140 min,"Action & Adventure, Comedies, International Movies",A young man returns to his native village on a mission of vengeance after his father commits suicide in the wake of false accusations.
5436,Netflix,Movie,Sandy Wexler,Tsutomu Mizushima,M,54,Ricky Davao,M,62,United States,14-Apr-17,2017,TV-14,131 min,Comedies,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off."
4713,Netflix,Movie,Rainbow Time,Dan Villegas,M,38,Maria Isabel Lopez,M,61,United States,1-Dec-16,2016,Not Rated,92 min,"Comedies, Dramas, Independent Movies","A developmentally disabled man obsessed with the Fonz, guns and all things kinky poses a challenge for his arrogant brother when he moves in with him."
2331,Netflix,Movie,Battle Drone,Gabriele Muccino,M,52,Ana Capri,F,67,United States,1-Mar-18,2018,TV-MA,94 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","A team of mercenaries working with the CIA accepts an off-the-books mission in Chernobyl, where deadly human-controlled droids prepare an ambush."
2679,Netflix,Movie,Jo Koy: Comin' In Hot,Adam MacDonald,M,42,Cris Villanueva,M,48,United States,12-Jun-19,2019,TV-MA,60 min,Stand-Up Comedy,"Comedian Jo Koy takes center stage in Hawaii and shares his candid take on cultural curiosities, filter-free fatherhood and more."
4063,Netflix,TV Show,Revolting Rhymes,Lana Wachowski,F,54,Nikolaj Coster-Waldau,M,49,United Kingdom,1-Feb-18,2017,TV-PG,1 Season,"British TV Shows, Kids' TV",Popular fairy tales take on a darkly comic edge in these short animated films based on a book by Roald Dahl and illustrator Quentin Blake.
5324,Netflix,Movie,Secrets of Underground London,Lilly Wachowski,F,53,Carice van Houten,F,43,United Kingdom,22-Apr-17,2014,TV-PG,55 min,"Documentaries, International Movies","Experts examine the ruins and relics hidden beneath London's surface, unearthing a Roman amphitheater, plague pits, air raid shelters and more."
5481,Netflix,Movie,Love O2O,Rob Reiner,M,73,Eriq Ebouaney,M,52,China,1-Apr-19,2016,TV-14,103 min,"International Movies, Romantic Movies, Sci-Fi & Fantasy",A college stud tries to level up his relationship with a computer science major after becoming attracted to her skills in an online role-playing game.
2345,Netflix,Movie,Inconceivable,Martin Scorsese,M,77,Guy Pearce,M,52,"United Kingdom, United States",1-Mar-18,2017,R,106 min,Thrillers,A couple trying to conceive invite a woman with a mysterious past to move in with them. But it's an invitation they might come to regret.
3347,Netflix,Movie,Soni,Andrew Jenks,M,34,Mohammed Azaay,M,43,India,18-Jan-19,2018,TV-MA,97 min,"Dramas, Independent Movies, International Movies","While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives."
207,Netflix,Movie,I Am Wrath,Kobun Shizuno,M,47,Aaron Paul,M,40,United States,16-Sep-19,2016,R,91 min,"Action & Adventure, Dramas","Hell-bent on avenging his wife's murder, Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians."
4998,Netflix,Movie,Bioscope,Hiroyuki Seshita,M,53,Paprika Steen,F,55,India,15-Aug-18,2015,TV-14,131 min,"Dramas, International Movies, LGBTQ Movies","Inspired by classic and contemporary literature, four renowned Marathi directors create four individual stories in this anthology of short films."
1444,Netflix,Movie,Barfi!,Dan Harris,M,48,Helena Kaittani,F,43,India,1-Nov-18,2012,TV-PG,144 min,"Comedies, Dramas, International Movies","Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him."
4703,Netflix,Movie,Asu Mare 2,Dennie Gordon,F,66,Yvonne Strahovski,F,37,Peru,1-Dec-16,2015,Not Rated,100 min,"Comedies, International Movies",To win the heart of his true love í_í_Å‹ a high-society girl í_í_Å‹ a hapless commoner plots to change his identity and avoid his embarrassing friends.
1880,Netflix,Movie,Abby Sen,Sajid Khan,M,49,Anna Pniowsky,F,13,India,1-May-17,2015,TV-PG,127 min,"Comedies, Dramas, International Movies","After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve."
1497,Netflix,Movie,Bandie,Steven Brill,M,69,Abigail Pniowsky,F,12,India,1-Nov-17,1978,TV-14,141 min,"Action & Adventure, Dramas, International Movies","Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her."
3254,Netflix,Movie,Pope Francis: A Man of His Word,Linas Phillips,M,56,Ryan McDonald,M,35,"Switzerland, Vatican City, Italy, Germany, France",3-Jan-19,2018,TV-PG,96 min,"Documentaries, Faith & Spirituality, International Movies","Documentary filmmaker Wim Wenders travels the world with Pope Francis, recording the controversial pontiff's humanist views in a sharply divided age."
1786,Netflix,Movie,Spivak,Mitch Gould,M,61,Justin Bruening,M,40,United States,12-May-18,2017,TV-MA,92 min,"Comedies, Independent Movies",Struggling writer Wally Spivak is stuck in a rut í_í_Å‹ until he meets an engaged couple and starts to see life in a whole new way.
4470,Netflix,Movie,Dragons: Dawn of the Dragon Racers,Shannon Hartman,F,41,Julian Bailey,M,42,United States,16-Dec-18,2014,TV-PG,27 min,"Children & Family Movies, Comedies","The ""How to Train Your Dragon"" adventure continues when a hunt for lost sheep turns into a fierce, fun-filled competition."
2866,Netflix,Movie,Oh My Ghost,Jani Lachauer,F,62,John Stephenson,M,100,Thailand,25-Jul-18,2009,TV-14,94 min,"Comedies, Horror Movies, International Movies","A group of friends encounters a folk spirit in their apartment, and their harebrained attempts to banish the ghost soon backfire."
3820,Netflix,Movie,You're My Boss,Jakob Schuh,M,44,Randhir Kapoor,M,73,Philippines,27-Feb-19,2015,TV-PG,117 min,"Comedies, International Movies, Romantic Movies","Pong, a corporate assistant, poses as his companyí_í_Œés president in order to help Georgina, a marketing executive, close a crucial business deal."
655,Netflix,Movie,The Laundromat,Vicky Matthews,F,37,Sharman Joshi,M,41,United States,18-Oct-19,2019,R,96 min,"Comedies, Dramas","When a widow gets swindled out of insurance money, her search for answers leads to two cunning lawyers in Panama who hide cash for the superrich."
324,Netflix,Movie,The CEO,Gareth Sacala,M,32,Anupam Kher,M,65,Nigeria,1-Sep-19,2016,TV-14,109 min,"Dramas, International Movies, Thrillers",A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win í_í_Å‹ and stay alive.
3847,Netflix,Movie,Marvel Super Hero Adventures: Frost Fight!,Tianyu Zhao,M,43,Shweta Kumar,F,32,United States,24-Feb-16,2015,TV-PG,74 min,"Children & Family Movies, Sci-Fi & Fantasy","In this Christmas-themed special, Captain America and the Avengers battle Loki and Ymir, who plot to steal Santa Claus' powers and conquer the world."
3803,Netflix,Movie,People You May Know,Jonathan Baker,M,58,Varsha Usgaonkar,F,52,"United States, Spain",28-Feb-17,2016,TV-MA,108 min,"Dramas, LGBTQ Movies",The lives of several friends are thrown into chaos when a woman becomes pregnant by her husband's gay best friend after a drunken one-night stand.
1752,Netflix,Movie,Kyaa Kool Hai Hum,Ivan Ayr,M,46,Rajesh Kumar,M,45,India,15-May-19,2005,TV-14,165 min,"Comedies, International Movies, Music & Musicals","Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
5369,Netflix,Movie,Chasing the Dragon,Chuck Russell,M,61,Shreya Narayan,F,35,"Hong Kong, China",19-Apr-18,2017,TV-MA,129 min,"Action & Adventure, Dramas, International Movies","In corrupt, British-colonized Hong Kong, a mainland Chinese immigrant rises to the top of the city's drug underworld with the help of a notorious cop."
3626,Netflix,Movie,Moshe Kasher: Live in Oakland,Gajendra Ahire,M,51,Priyanka Chopra,F,37,United States,1-Jan-19,2012,TV-MA,61 min,Stand-Up Comedy,Comic Moshe Kasher returns to his home turf of Oakland for this stand-up special that has him sharing uproarious stories about the people he's met.
3457,Netflix,Movie,Zoom,Viju Mane,M,56,Harman Baweja,M,39,United States,11-Jan-20,2006,TV-PG,88 min,"Children & Family Movies, Comedies","Dragged from civilian life, a former superhero must train a new crop of youthful saviors when the military preps for an attack by a familiar villain."
3633,Netflix,Movie,The Boy in the Striped Pajamas,Girish Mohite,M,49,Suzy Brack,F,42,"United Kingdom, United States",1-Jan-19,2008,PG-13,95 min,"Dramas, Independent Movies, International Movies","When his family moves from Berlin to Poland, a young boy befriends a boy who lives on the other side of the fence, unaware he's a Jewish prisoner."
5508,Netflix,Movie,Balto,Ravi Jadhav,M,53,Gene Fojtik,M,55,United States,1-Apr-18,1995,TV-G,78 min,"Children & Family Movies, Dramas","Balto, who is half wolf and half dog, endures the taunts of disapproving humans as he guides a precious cargo of medicine through the Alaskan winter."
4134,Netflix,Movie,No Game No Life: Zero,Anurag Basu,M,45,Anjan Srivastav,M,71,Japan,6-Dec-19,2017,TV-14,106 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy","In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction."
1827,Netflix,Movie,Robin Hood: The Rebellion,Ricardo Maldonado,M,42,Darshan Jariwala,M,61,United Kingdom,1-May-19,2018,TV-14,92 min,"Action & Adventure, Independent Movies, International Movies","When the Sheriff of Nottingham takes his beloved captive, Robin Hood embarks on a daring rescue mission at the tyrant's castle."
2288,Netflix,Movie,Sen Kimsin?,Atanu Ghosh,M,50,Dilip Joshi,M,51,Turkey,10-Mar-17,2012,TV-14,102 min,"Comedies, International Movies","Desperate for cash, klutzy private investigator Tekin searches for a wealthy woman's missing girl but faces one surprise and mishap after another."
4984,Netflix,Movie,Opium and the Kung Fu Master,Alo Sarkar,M,89,Daya Shankar Pandey,M,54,Hong Kong,16-Aug-18,1984,TV-MA,86 min,"Action & Adventure, International Movies","Leader of the Ten Kwangtung Tigers, Tieh Chiao-san works with his kung fu students to protect his village from crime. But when an opium dealer starts to ruin the town, Tieh Chiao-san struggles to fight back, thanks to his growing opium addiction."
2105,Netflix,Movie,The Unmarried Wife,Wim Wenders,M,74,Yuri Suri,M,69,Philippines,21-Mar-19,2016,TV-MA,130 min,"Dramas, International Movies, Romantic Movies","Tired of her husband's cheating, Anne begins a passionate new relationship í_í_Å‹ while still wondering if she should give her marriage another chance."
5028,Netflix,Movie,Calum von Moger: Unbroken,Anthony Abrams,M,45,Rajesh Vivek,M,100,United States,13-Aug-19,2019,TV-MA,93 min,"Documentaries, Sports Movies","Bodybuilder and two-time Mr. Universe, Calum von Moger, reflects on his rise to fame and battle to come back from a debilitating injury."
1975,Netflix,Movie,Gook,Adam Larson Broder,M,49,Geeta Tyagi,F,34,United States,6-Mar-18,2017,TV-MA,95 min,"Dramas, Independent Movies","Amidst the looting and chaos of the LA riots, two Korean-American brothers fight to save their struggling shoe store while contemplating their future."
832,Netflix,Movie,The Flintstones,Elaine Bogan,F,40,Anshuman Jha,M,34,United States,1-Oct-19,1994,TV-PG,91 min,"Children & Family Movies, Comedies",The Flintstones hit the big screen in this live-action comedy that finds Fred and Barney struggling to cope with the pressures of work and family.
5103,Netflix,Movie,Love In A Puff,John Sanford,M,100,Rajat Kapoor,M,59,Hong Kong,1-Aug-18,2010,TV-MA,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec."
108,Netflix,Movie,Much Loved,Poj Arnon,M,49,Pooja Ruparel,F,39,"France, Morocco",27-Sep-17,2015,TV-MA,104 min,"Dramas, Independent Movies, International Movies",Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.
5343,Netflix,Movie,Dude,Antoinette Jadaone,F,36,Piaa Bajpai,F,28,United States,20-Apr-18,2018,TV-MA,97 min,"Comedies, Dramas, Independent Movies",Four best friends navigate loss and major life changes í_í_Å‹ and smoke a lot of weed í_í_Å‹ during their last two weeks of high school.
3253,Netflix,Movie,Occupation,Steven Soderbergh,M,57,Huma Qureshi,F,38,Australia,3-Jan-19,2018,R,120 min,"Action & Adventure, Sci-Fi & Fantasy","When aliens take over their small Australian town, a modest group of survivors must unite to fend off their otherworldly intruders."
3141,Netflix,Movie,Black Snow,Kunle Afolayan,M,45,Usha Uthup,F,72,"Argentina, Spain",1-Jul-17,2017,TV-MA,91 min,"Dramas, International Movies, Thrillers",An old tragedy and lingering animosity erupt when a man returns to Patagonia to convince his estranged brother to sell the family's isolated property.
2757,Netflix,Movie,The Mitfords: A Tale of Two Sisters,Mitch Schauer,M,64,Radhika Apte,F,34,United Kingdom,1-Jun-17,2017,TV-PG,44 min,Documentaries,Jessica and Diana were sisters who were separated by just a few years in age. But their political ideologies couldn't have been any farther apart.
1328,Netflix,Movie,Submission,J.C. Falcäó»_n,M,51,Swara Bhaskar,F,32,United States,11-Nov-19,2019,TV-MA,95 min,"Action & Adventure, Dramas","After a near-death trip home, a Marine looking to help his comrade survive returns to the underground world of MMA, where new battles await."
3579,Netflix,Movie,The Final Destination,Sangeeth Sivan,M,64,Ashok Saraf,M,72,United States,1-Jan-20,2009,R,82 min,Horror Movies,"Nick O'Bannon thinks he's cheated death when he keeps a grisly premonition from becoming reality, but he soon realizes that fate has other plans."
4236,Netflix,Movie,Tomorrow Never Dies,Wong Jing,M,55,Sonali Kulkarni,F,45,"United Kingdom, United States",31-Dec-19,1997,PG-13,119 min,Action & Adventure,"Pierce Brosnan stars in this 007 installment, which teams the secret agent and a sexy Chinese superspy against a megalomaniacal media mogul."
5535,Netflix,Movie,Om Shanti Om,Jason Kwan,M,35,Subodh Bhave,M,44,India,1-Apr-18,2007,TV-14,169 min,"Comedies, Dramas, International Movies","Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze."
4167,Netflix,Movie,The Cakemaker,Jay Chapman,M,47,Usha Nadkarni,F,73,"Israel, Germany",4-Dec-18,2017,TV-14,109 min,"Dramas, Independent Movies, International Movies","When a German baker travels to Jerusalem in search of his dead male loverí_í_Œés family, his growing involvement with them may expose his truth."
5000,Netflix,Movie,Hostiles,Peter Hewitt,M,52,Raghavendra Kadkol,M,67,United States,15-Aug-18,2017,R,134 min,Dramas,"After a long career battling the Cheyenne, a U.S. Army captain is ordered to safely escort the tribe's most influential chief to his Montana homeland."
2820,Netflix,Movie,Joan Rivers: Don't Start with Me,Mark Herman,M,66,Pushkar Shrotri,M,50,United States,3-Jul-18,2012,TV-MA,69 min,Stand-Up Comedy,"At 78, Joan Rivers has no interest in slowing down, and no one's immune from her caustic barbs in this stand-up special."
395,Netflix,Movie,The Guardian Brothers,Simon Wells,M,59,Lokesh Gupte,M,35,China,1-Sep-17,2016,TV-Y7,86 min,"Children & Family Movies, Comedies","When a Chinese family's soup shop is targeted for sabotage by a competitor, two guardians from the spirit world leave retirement to protect them."
2390,Netflix,Movie,Tope: The Bait,Atsuko Ishizuka,F,38,Santosh Juvekar,M,35,India,1-Mar-18,2016,TV-14,87 min,"Dramas, Independent Movies, International Movies","The tales of an eccentric aristocrat, a tightrope walking nomad and a postman-turned-soothsayer unspool in this visual poem of rural life in India."
3989,Netflix,Movie,Katherine Ryan: In Trouble,Nicholas Winter,M,70,Jyoti Joshi,F,42,United Kingdom,14-Feb-17,2017,TV-MA,64 min,Stand-Up Comedy,"Stand-up comic Katherine Ryan reminisces about unusual relationships, life in the hometown she hates and the time she enraged an entire nation."
5927,Netflix,TV Show,Degrassi: Next Class,Eric Idle,M,77,Kishor Mahabole,M,56,Canada,7-Jul-17,2017,TV-14,4 Seasons,"International TV Shows, TV Dramas, Teen TV Shows","Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life."
